g3,absences,age,traveltime,studytime,failures,famrel,freetime,goout,dalc,walc,health
8,8,15,1,4,0,5,1,2,1,1,3
8,12,17,2,2,0,4,4,4,4,5,5
15,0,17,2,3,0,3,3,3,2,3,2
7,18,16,1,2,0,4,1,3,3,5,5
20,4,16,1,4,0,4,2,2,1,1,2
15,0,16,1,1,0,4,3,2,2,4,5
15,0,17,1,2,0,4,3,2,1,1,5
16,4,17,1,1,0,5,2,3,1,2,5
0,0,15,3,1,0,4,3,3,1,2,4
14,2,15,1,1,0,4,3,3,1,3,5
7,5,16,1,2,3,2,3,3,2,2,4
0,0,18,1,1,2,3,3,3,1,2,4
0,0,19,1,3,1,5,4,2,1,2,5
18,0,17,1,4,0,5,2,2,1,2,5
15,2,15,1,3,0,3,2,2,1,1,5
14,0,18,1,4,0,4,3,3,1,1,3
10,8,17,4,1,0,4,4,5,5,5,4
8,2,15,1,2,0,4,4,4,1,1,1
12,0,16,2,2,0,5,4,4,2,4,5
11,12,17,1,2,0,4,3,4,2,3,4
0,0,18,2,2,0,5,3,3,1,2,1
10,2,15,2,4,1,3,1,2,1,1,1
8,2,18,1,4,0,4,5,5,2,4,5
5,8,18,1,2,1,4,3,3,1,3,5
8,30,17,2,1,0,4,5,4,2,4,5
11,8,18,2,2,0,4,3,4,2,2,4
14,8,18,1,2,0,5,2,4,1,2,4
12,2,16,1,2,0,4,2,3,1,2,3
11,2,15,2,2,0,5,4,3,1,2,3
8,38,19,2,1,1,4,3,4,1,1,4
10,19,17,1,1,1,4,4,4,3,4,3
0,0,17,1,4,0,3,4,1,1,1,2
15,2,16,2,1,0,3,3,3,1,1,4
14,0,17,2,3,0,4,3,3,1,1,3
11,2,16,1,1,0,3,3,3,1,2,3
9,15,19,1,2,2,4,3,5,3,3,5
9,2,16,1,3,0,3,4,4,2,4,4
8,4,18,1,1,1,3,2,5,2,5,5
18,0,15,1,2,0,5,4,4,1,1,1
15,0,16,1,1,0,5,4,3,1,1,5
13,8,17,1,1,0,2,2,2,3,3,5
10,8,18,2,1,0,4,2,3,1,2,1
0,0,17,2,1,2,3,3,2,2,2,5
16,4,16,1,3,0,5,4,5,1,1,4
10,2,17,2,1,3,4,5,1,1,1,3
0,0,18,1,2,0,4,3,3,1,1,2
8,0,18,1,2,0,4,3,4,1,1,1
11,2,15,1,3,0,4,2,2,1,1,5
0,0,16,1,2,0,5,1,5,1,1,4
13,18,16,1,1,0,3,4,4,1,4,5
13,2,17,2,2,0,4,5,4,2,3,3
12,0,16,1,2,1,4,4,4,1,3,5
6,4,17,1,2,0,5,3,3,1,1,3
16,2,16,2,2,0,4,3,2,1,1,3
12,6,17,1,3,0,4,3,3,1,1,3
8,2,15,2,2,0,4,1,3,1,3,4
11,8,17,1,3,0,3,4,3,1,1,3
12,4,16,1,2,1,4,5,5,4,4,5
13,2,16,3,2,0,4,3,3,2,3,4
12,6,17,2,2,0,4,4,4,2,3,5
12,0,16,1,1,0,5,3,2,1,2,5
16,2,16,1,2,0,5,4,4,1,2,5
14,4,15,1,3,0,5,3,3,1,3,1
9,14,16,2,2,1,4,3,3,2,2,5
11,2,15,1,2,0,4,3,2,1,1,5
0,0,15,4,2,0,5,3,3,1,1,5
11,40,19,1,3,1,4,1,2,1,1,3
8,2,17,2,1,1,4,4,4,1,2,5
13,0,16,2,1,0,5,4,2,1,1,5
16,0,15,1,2,0,4,5,2,1,1,5
14,7,18,1,3,0,5,4,3,2,3,1
11,4,19,1,3,1,4,3,4,1,3,3
14,2,15,1,2,0,4,3,3,2,2,5
9,4,19,2,2,2,3,2,2,1,1,3
9,4,16,1,2,0,4,4,3,1,1,1
9,10,16,1,1,0,4,3,3,3,4,3
18,2,15,1,2,0,4,3,3,1,1,5
11,2,15,1,3,0,4,3,2,1,1,5
12,0,15,1,2,0,5,3,2,1,1,2
10,0,18,2,1,0,5,2,3,1,2,4
0,0,16,1,2,3,4,3,5,1,1,3
6,0,15,2,1,0,3,5,1,1,1,5
14,4,16,1,1,0,4,4,4,1,2,2
18,8,16,1,1,0,3,5,5,2,5,4
13,2,15,1,2,0,4,3,3,1,1,5
8,7,18,1,1,1,4,3,3,2,3,3
5,16,17,1,1,3,5,5,5,2,4,5
11,6,16,1,2,0,2,4,4,2,3,4
10,4,18,1,3,0,4,3,3,1,2,3
14,6,16,1,1,0,5,3,4,1,2,1
11,0,16,1,2,0,4,4,4,1,1,3
8,4,19,3,1,1,4,4,4,3,3,5
13,0,18,2,3,0,4,2,2,2,2,5
14,4,18,1,4,0,4,5,5,1,3,2
16,0,16,1,2,0,4,2,3,1,1,3
9,2,19,1,2,3,3,4,2,1,1,5
12,2,17,1,2,0,5,3,3,1,3,3
18,4,15,1,1,0,4,5,5,1,3,1
12,2,18,2,2,1,4,4,3,2,3,5
15,9,18,1,2,0,5,4,3,1,1,2
11,0,15,1,2,0,4,4,2,1,2,5
9,2,15,1,2,0,4,3,2,1,1,5
13,10,16,1,2,0,1,3,2,1,1,1
12,1,18,2,4,0,5,2,2,1,1,3
14,7,17,1,3,0,4,4,3,1,1,5
0,0,19,2,1,1,4,3,2,1,3,5
15,4,15,2,2,0,5,3,3,1,3,4
5,12,16,1,2,0,2,4,3,1,2,3
14,6,15,1,4,0,4,3,4,1,1,4
0,0,18,2,2,1,1,1,1,1,1,5
16,0,18,2,3,0,5,3,2,1,1,4
6,2,17,2,2,0,4,2,5,1,2,5
14,4,15,1,1,0,5,3,3,1,1,5
9,8,16,2,1,2,2,3,3,2,2,2
10,4,18,2,2,0,3,3,4,2,4,3
11,4,17,1,2,0,5,4,5,1,2,5
13,4,17,1,2,0,4,4,2,5,5,4
15,4,15,1,1,0,2,2,4,2,4,1
10,4,18,2,1,0,3,3,2,1,2,3
8,14,16,1,1,2,1,2,2,1,3,5
0,0,17,1,3,1,4,3,4,1,1,5
8,0,16,1,2,0,5,4,4,1,1,5
16,2,16,1,2,0,4,2,3,1,1,5
6,6,18,2,2,0,4,3,4,1,1,3
10,4,16,3,2,0,5,3,2,1,1,4
0,0,15,1,2,3,3,3,2,1,1,3
14,14,17,1,2,0,3,2,3,1,2,3
10,0,18,2,2,0,4,3,2,1,3,3
10,18,19,1,2,1,4,4,3,1,3,3
